ADVERTISER,BRAND_ROOT,Brand (Major),Brand (Minor),Brand (Leaf),PUBLISHER,DATE,CHANNEL,Top-Level Category,PLACEMENT,Spend (USD),IMPRESSIONS
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Hulu,2025-01-01,OTT,Consumer Packaged Goods,In-Stream,105961.23,3832547
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Hulu,2025-01-01,OTT,Consumer Packaged Goods,In-Stream,133023.75,4811373
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,wunderground.com (The Weather Company),2025-01-01,Desktop Display,Consumer Packaged Goods,Other,157.86,134595
"Chobani, Inc.",Chobani,Chobani,Chobani,Chobani,washingtonpost.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,559.25,63959
"Chobani, Inc.",Chobani,Chobani,Chobani,Chobani,people.com (Meredith),2025-01-01,Desktop Display,Consumer Packaged Goods,Other,391.14,102622
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),nydailynews.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,4016.60,286524
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,chicagotribune.com (Tribune Media),2025-01-01,Desktop Video,Consumer Packaged Goods,Other,2490.28,248408
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),chicagotribune.com (Tribune Media),2025-01-01,Desktop Video,Consumer Packaged Goods,Other,13296.39,1326329
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),yardbarker.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,1021.26,78967
"Chobani, Inc.",Chobani,Chobani,Chobani,Chobani,buzzfeed.com,2025-01-01,Desktop Display,Consumer Packaged Goods,Other,481.94,154883
"Chobani, Inc.",Chobani,Chobani,Chobani,Chobani,businessinsider.com,2025-01-01,Desktop Display,Consumer Packaged Goods,Other,44.16,6137
