advertiser,brand,media_group,media,media_owner,dow,national_local,market,program,program_genre,daypart,property,flight_date,spend_usd,units
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,TOTAL_US,BELOW DECK DOWN UNDER,ENTERTAINMENT,Saturday Morning,BRAV,2025-03-01,1404.0,1.0
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,TOTAL_US,BIG DADDY,ENTERTAINMENT,Late Fringe,BRAV,2025-03-01,2654.0,1.0
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,TOTAL_US,JUST GO WITH IT,ENTERTAINMENT,Prime Time,BRAV,2025-03-01,6141.0,1.0
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,TOTAL_US,LIVE FROM THE RED CARPET,ENTERTAINMENT,Early Fringe,E!,2025-03-01,18732.0,1.0
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,TOTAL_US,MARRIED TO MEDICINE,ENTERTAINMENT,Weekend Afternoon,BRAV,2025-03-01,858.0,1.0
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,TOTAL_US,MARRIED TO MEDICINE,ENTERTAINMENT,Sunday Morning,BRAV,2025-03-01,2106.0,2.0
Chomps,Chomps,Television,Cable TV,Walt Disney Co,Saturday,NATIONAL,TOTAL_US,SPORTSCENTER/SCOTT VAN P,SPORTS,Saturday Morning,ESPN,2025-03-01,4985.0,2.0
Chomps,Chomps,Television,Cable TV,Walt Disney Co,Sunday,NATIONAL,TOTAL_US,SPORTSCENTER,SPORTS,Sunday Morning,ESPN,2025-03-01,1662.0,1.0
Chomps,Chomps,Television,Cable TV,Warner Bros Discovery Inc,Thursday,NATIONAL,TOTAL_US,UNSELLABLE HOUSES,ENTERTAINMENT,Early Morning,HGTV,2025-03-01,1629.0,2.0
Chomps,Chomps,Television,Cable TV,Warner Bros Discovery Inc,Friday,NATIONAL,TOTAL_US,BARGAIN BLOCK,ENTERTAINMENT,Early Morning,HGTV,2025-03-01,1629.0,2.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,TOTAL_US,DR. PIMPLE POPPER: BREAK,ENTERTAINMENT,Prime Time,LIFE,2025-04-01,1054.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,TOTAL_US,DR. PIMPLE POPPER: BREAK,ENTERTAINMENT,Late Fringe,LIFE,2025-04-01,527.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,TOTAL_US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Early Fringe,A&E,2025-04-01,2519.0,2.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,TOTAL_US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Early News,A&E,2025-04-01,2519.0,2.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Monday,NATIONAL,TOTAL_US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Prime Access,A&E,2025-04-01,1319.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,TOTAL_US,CASTLE,ENTERTAINMENT,Prime Time,LIFE,2025-04-01,1020.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,TOTAL_US,CASTLE,ENTERTAINMENT,Overnight,LIFE,2025-04-01,482.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,TOTAL_US,ROAD WARS,ENTERTAINMENT,Early Fringe,A&E,2025-04-01,840.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,TOTAL_US,LIVE PD PRESENTS: PD CAM,ENTERTAINMENT,Early Fringe,A&E,2025-04-01,3359.0,3.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,TOTAL_US,STADIUM LOCKUP,ENTERTAINMENT,Early Fringe,A&E,2025-04-01,1679.0,1.0
