advertiser,brand_root,brand_major,brand_minor,brand_leaf,publisher,date,channel,top_level_category,placement,spend_usd,impressions
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Facebook,2025-08-01,Facebook,Consumer Packaged Goods,Reels,269817.77,38119753
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Facebook,2025-08-01,Facebook,Consumer Packaged Goods,Feed,802946.1,113439902
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Facebook,2025-08-01,Facebook,Consumer Packaged Goods,Stories,68345.24,9655795
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Hulu,2025-08-01,OTT,Consumer Packaged Goods,In-Stream,189255.2,5861801
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,usnews.com,2025-08-01,Mobile Display,Consumer Packaged Goods,Other,153.15,48707
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,sun-sentinel.com (Tribune Media),2025-08-01,Mobile Display,Consumer Packaged Goods,Other,44.6,15913
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Instagram,2025-08-01,Instagram,Consumer Packaged Goods,Feed,323.9,39392
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Instagram,2025-08-01,Instagram,Consumer Packaged Goods,Reels,630.24,76650
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,kfor.com,2025-08-01,Mobile Display,Consumer Packaged Goods,Other,46.67,15433
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,tucsonnewsnow.com (WorldNow),2025-08-01,Mobile Display,Consumer Packaged Goods,Other,15.41,6813
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,kark.com,2025-08-01,Mobile Display,Consumer Packaged Goods,Other,6.09,2555
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,thestate.com (McClatchy),2025-08-01,Mobile Display,Consumer Packaged Goods,Other,2.7,2683
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,natashaskitchen.com,2025-08-01,Mobile Display,Consumer Packaged Goods,Other,100.41,22762
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,cricbuzz.com,2025-08-01,Mobile Display,Consumer Packaged Goods,Other,81.71,68716
